country_of_birth,country_of_destination,education_level,sex,number,Country_origin,origin_Education,origin_Jobs,origin_Income,origin_Safety,origin_Health,origin_Environment,origin_Civic engagement,origin_Accessiblity to services,origin_Housing,origin_Community,origin_Life satisfaction,origin_PR rating,origin_CL rating,Country_dest,dest_Education,dest_Jobs,dest_Income,dest_Safety,dest_Health,dest_Environment,dest_Civic engagement,dest_Accessiblity to services,dest_Housing,dest_Community,dest_Life satisfaction,dest_PR rating,dest_CL rating,diff_Education,diff_Jobs,diff_Income,diff_Safety,diff_Health,diff_Environment,diff_Civic engagement,diff_Accessiblity to services,diff_Housing,diff_Community,diff_Life satisfaction,diff_PR rating,diff_CL rating
AUS,CAN,ISCED 5/6/7/8,Female,47470.0,Australia,8.222222222222221,8.293666801129488,6.040590234138621,9.761904761904765,8.988311688311692,8.28125,9.721039646203746,5.010688916612327,9.352517985611508,8.703703703703706,8.461538461538463,1.0,1.0,Canada,9.62962962962963,7.206030657523196,5.138248847926268,9.285714285714285,7.734199134199133,9.166666666666668,7.144778126400718,8.316103314587107,8.576741476004644,8.086419753086423,8.076923076923077,1.0,1.0,1.4074074074074083,-1.087636143606292,-0.9023413862123535,-0.47619047619047983,-1.2541125541125586,0.8854166666666679,-2.576261519803028,3.305414397974779,-0.7757765096068638,-0.6172839506172831,-0.3846153846153868,0.0,0.0
AUS,CAN,ISCED 5/6/7/8,Male,45530.0,Australia,8.222222222222221,8.293666801129488,6.040590234138621,9.761904761904765,8.988311688311692,8.28125,9.721039646203746,5.010688916612327,9.352517985611508,8.703703703703706,8.461538461538463,1.0,1.0,Canada,9.62962962962963,7.206030657523196,5.138248847926268,9.285714285714285,7.734199134199133,9.166666666666668,7.144778126400718,8.316103314587107,8.576741476004644,8.086419753086423,8.076923076923077,1.0,1.0,1.4074074074074083,-1.087636143606292,-0.9023413862123535,-0.47619047619047983,-1.2541125541125586,0.8854166666666679,-2.576261519803028,3.305414397974779,-0.7757765096068638,-0.6172839506172831,-0.3846153846153868,0.0,0.0
AUS,CHE,ISCED 5/6/7/8,Female,8459.370063781738,Australia,8.222222222222221,8.293666801129488,6.040590234138621,9.761904761904765,8.988311688311692,8.28125,9.721039646203746,5.010688916612327,9.352517985611508,8.703703703703706,8.461538461538463,1.0,1.0,Switzerland,8.703703703703704,9.02001815248084,10.0,9.92063492063492,8.695238095238093,7.8125,0.567958815378171,9.75845198299437,5.755395683453237,8.827160493827165,9.615384615384617,1.0,1.0,0.48148148148148273,0.7263513513513526,3.9594097658613787,0.1587301587301546,-0.2930735930735988,-0.46875,-9.153080830825575,4.747763066382042,-3.5971223021582706,0.12345679012345911,1.1538461538461533,0.0,0.0
AUS,CHE,ISCED 5/6/7/8,Male,9240.039009094238,Australia,8.222222222222221,8.293666801129488,6.040590234138621,9.761904761904765,8.988311688311692,8.28125,9.721039646203746,5.010688916612327,9.352517985611508,8.703703703703706,8.461538461538463,1.0,1.0,Switzerland,8.703703703703704,9.02001815248084,10.0,9.92063492063492,8.695238095238093,7.8125,0.567958815378171,9.75845198299437,5.755395683453237,8.827160493827165,9.615384615384617,1.0,1.0,0.48148148148148273,0.7263513513513526,3.9594097658613787,0.1587301587301546,-0.2930735930735988,-0.46875,-9.153080830825575,4.747763066382042,-3.5971223021582706,0.12345679012345911,1.1538461538461533,0.0,0.0
AUS,COL,ISCED 5/6/7/8,Female,341.0,Australia,8.222222222222221,8.293666801129488,6.040590234138621,9.761904761904765,8.988311688311692,8.28125,9.721039646203746,5.010688916612327,9.352517985611508,8.703703703703706,8.461538461538463,1.0,1.0,Colombia,3.4074074074074066,0.9290540540540544,0.906753712237583,3.2195715810276675,4.302813852813854,5.208333333333334,3.424473330345137,1.2110129335016846,0.7398937989216032,3.086419753086422,3.461538461538463,2.0,3.0,-4.814814814814815,-7.364612747075434,-5.1338365219010385,-6.5423331808770975,-4.685497835497838,-3.072916666666666,-6.296566315858609,-3.799675983110643,-8.612624186689905,-5.617283950617284,-5.0,1.0,2.0
AUS,COL,ISCED 5/6/7/8,Male,691.0,Australia,8.222222222222221,8.293666801129488,6.040590234138621,9.761904761904765,8.988311688311692,8.28125,9.721039646203746,5.010688916612327,9.352517985611508,8.703703703703706,8.461538461538463,1.0,1.0,Colombia,3.4074074074074066,0.9290540540540544,0.906753712237583,3.2195715810276675,4.302813852813854,5.208333333333334,3.424473330345137,1.2110129335016846,0.7398937989216032,3.086419753086422,3.461538461538463,2.0,3.0,-4.814814814814815,-7.364612747075434,-5.1338365219010385,-6.5423331808770975,-4.685497835497838,-3.072916666666666,-6.296566315858609,-3.799675983110643,-8.612624186689905,-5.617283950617284,-5.0,1.0,2.0
AUS,CZE,ISCED 5/6/7/8,Female,406.0,Australia,8.222222222222221,8.293666801129488,6.040590234138621,9.761904761904765,8.988311688311692,8.28125,9.721039646203746,5.010688916612327,9.352517985611508,8.703703703703706,8.461538461538463,1.0,1.0,Czech Republic,10.0,9.08783783783784,3.283759251501187,9.642857142857142,3.0987012987012994,5.15625,3.514119229045271,5.207948390603844,3.597122302158273,8.20987654320988,7.30769230769231,1.0,1.0,1.7777777777777786,0.7941710367083523,-2.7568309826374344,-0.11904761904762218,-5.889610389610392,-3.125,-6.206920417158475,0.197259473991517,-5.7553956834532345,-0.4938271604938258,-1.1538461538461533,0.0,0.0
AUS,CZE,ISCED 5/6/7/8,Male,946.0,Australia,8.222222222222221,8.293666801129488,6.040590234138621,9.761904761904765,8.988311688311692,8.28125,9.721039646203746,5.010688916612327,9.352517985611508,8.703703703703706,8.461538461538463,1.0,1.0,Czech Republic,10.0,9.08783783783784,3.283759251501187,9.642857142857142,3.0987012987012994,5.15625,3.514119229045271,5.207948390603844,3.597122302158273,8.20987654320988,7.30769230769231,1.0,1.0,1.7777777777777786,0.7941710367083523,-2.7568309826374344,-0.11904761904762218,-5.889610389610392,-3.125,-6.206920417158475,0.197259473991517,-5.7553956834532345,-0.4938271604938258,-1.1538461538461533,0.0,0.0
AUS,DNK,ISCED 5/6/7/8,Female,2953.0,Australia,8.222222222222221,8.293666801129488,6.040590234138621,9.761904761904765,8.988311688311692,8.28125,9.721039646203746,5.010688916612327,9.352517985611508,8.703703703703706,8.461538461538463,1.0,1.0,Denmark,7.7222222222222205,8.41543969342477,3.902155192477773,9.8015873015873,6.966017316017313,7.864583333333334,8.646346929627972,8.987298295621537,6.474820143884891,9.691358024691358,10.0,1.0,1.0,-0.5000000000000009,0.12177289229528121,-2.1384350416608484,0.03968253968253599,-2.022294372294379,-0.4166666666666661,-1.0746927165757736,3.9766093790092096,-2.877697841726617,0.9876543209876516,1.5384615384615365,0.0,0.0
AUS,DNK,ISCED 5/6/7/8,Male,3656.0,Australia,8.222222222222221,8.293666801129488,6.040590234138621,9.761904761904765,8.988311688311692,8.28125,9.721039646203746,5.010688916612327,9.352517985611508,8.703703703703706,8.461538461538463,1.0,1.0,Denmark,7.7222222222222205,8.41543969342477,3.902155192477773,9.8015873015873,6.966017316017313,7.864583333333334,8.646346929627972,8.987298295621537,6.474820143884891,9.691358024691358,10.0,1.0,1.0,-0.5000000000000009,0.12177289229528121,-2.1384350416608484,0.03968253968253599,-2.022294372294379,-0.4166666666666661,-1.0746927165757736,3.9766093790092096,-2.877697841726617,0.9876543209876516,1.5384615384615365,0.0,0.0
